날짜,DB숙소,국민체육센터,종합운동장,종합체육관,치악체육관
2026-07-01,26.63,25.17,27.2,26.09,24.35
2026-07-02,26.2,25.36,26.93,26.08,24.41
2026-07-03,26.32,24.83,26.9,25.83,24.68
2026-07-04,27.22,25.28,26.82,25.3,24.09
2026-07-05,27.12,25.32,27.17,25.08,24.2
2026-07-06,26.26,26.19,26.89,25.33,24.33
2026-07-07,26.5,25.02,27.0,25.54,24.63
2026-07-08,26.15,25.05,26.82,25.49,24.91
2026-07-09,25.59,24.91,26.17,25.08,24.75
2026-07-10,25.57,25.1,25.7,24.26,24.0
2026-07-11,26.65,25.63,26.57,24.33,23.87
2026-07-12,27.32,25.79,27.78,24.75,24.06
2026-07-13,27.2,26.98,27.91,25.1,24.42
2026-07-14,26.9,25.49,28.57,25.59,25.15
2026-07-15,27.46,25.1,28.13,26.09,25.13
2026-07-16,28.69,25.1,27.66,26.13,25.95
2026-07-17,29.22,27.16,27.5,25.6,25.45
2026-07-18,28.47,25.61,27.13,24.83,24.65
2026-07-19,28.01,25.51,26.77,24.82,24.59
2026-07-20,26.29,26.23,26.51,24.78,24.49
2026-07-21,25.72,25.14,25.8,24.54,24.4
2026-07-22,25.3,24.94,25.87,24.83,24.28
2026-07-23,25.31,24.93,26.17,25.01,24.1
2026-07-24,26.16,25.19,25.88,24.68,24.29
2026-07-25,27.15,25.57,25.88,24.74,23.62
2026-07-26,27.6,26.0,27.22,24.72,25.28
2026-07-27,26.71,26.63,27.67,25.44,24.95
2026-07-28,26.07,25.79,28.22,25.75,25.33
2026-07-29,26.48,25.41,28.66,26.03,25.67
2026-07-30,26.23,25.48,28.85,26.43,26.31
2026-07-31,26.22,25.65,28.72,25.78,26.82
