날짜,국민체육센터 지하,국민체육센터2층
2026-07-01,25.83,28.35
2026-07-02,25.81,28.42
2026-07-03,25.65,27.59
2026-07-04,25.8,28.21
2026-07-05,25.82,28.48
2026-07-06,25.78,28.13
2026-07-07,25.89,27.75
2026-07-08,25.52,27.29
2026-07-09,25.66,27.14
2026-07-10,25.76,26.67
2026-07-11,25.85,27.24
2026-07-12,25.78,28.53
2026-07-13,26.0,29.14
2026-07-14,26.14,29.05
2026-07-15,25.88,29.67
2026-07-16,25.97,29.04
2026-07-17,26.42,29.43
2026-07-18,26.39,29.0
2026-07-19,26.15,28.8
2026-07-20,25.93,28.36
2026-07-21,25.92,28.25
2026-07-22,25.55,28.48
2026-07-23,25.76,27.55
2026-07-24,25.55,27.79
2026-07-25,25.98,29.23
2026-07-26,26.32,29.57
2026-07-27,26.14,28.81
2026-07-28,26.0,29.19
2026-07-29,25.81,28.98
2026-07-30,26.15,28.98
2026-07-31,26.31,29.44
