날짜,사무공간,기타공간
2026-07-01,4.38,0.0
2026-07-02,6.46,0.0
2026-07-03,5.33,0.0
2026-07-04,4.17,0.08
2026-07-05,0.0,0.0
2026-07-06,4.83,0.06
2026-07-07,4.88,0.08
2026-07-08,4.62,0.0
2026-07-09,0.71,0.0
2026-07-10,4.58,0.02
2026-07-11,0.71,0.0
2026-07-12,0.0,0.0
2026-07-13,4.92,0.94
2026-07-14,5.33,0.0
2026-07-15,5.46,0.0
2026-07-16,6.42,0.0
2026-07-17,6.58,0.0
2026-07-18,0.38,0.4
2026-07-19,0.0,0.0
2026-07-20,3.67,0.0
2026-07-21,5.67,3.02
2026-07-22,6.54,0.6
2026-07-23,8.25,2.42
2026-07-24,10.79,4.02
2026-07-25,15.08,4.44
2026-07-26,1.0,6.33
2026-07-27,7.0,2.19
2026-07-28,6.29,0.0
2026-07-29,4.0,0.0
2026-07-30,2.79,0.0
2026-07-31,5.29,0.19
