날짜,사무/응대공간,휴게공간
2026-07-01,4.92,0.17
2026-07-02,5.42,0.04
2026-07-03,0.62,5.96
2026-07-04,7.92,0.46
2026-07-05,7.0,0.0
2026-07-06,5.5,2.62
2026-07-07,5.96,4.08
2026-07-08,4.04,0.54
2026-07-09,5.38,0.0
2026-07-10,5.17,1.33
2026-07-11,8.17,2.5
2026-07-12,8.29,0.58
2026-07-13,3.88,7.04
2026-07-14,5.0,3.08
2026-07-15,5.08,9.08
2026-07-16,0.0,0.0
2026-07-17,4.38,0.0
2026-07-18,7.54,7.29
2026-07-19,8.46,0.0
2026-07-20,9.46,6.71
2026-07-21,8.25,6.5
2026-07-22,10.38,3.71
2026-07-23,7.79,0.0
2026-07-24,2.21,6.04
2026-07-25,11.67,8.67
2026-07-26,0.21,0.0
2026-07-27,5.08,8.42
2026-07-28,5.33,6.67
2026-07-29,5.21,7.46
2026-07-30,5.25,0.0
2026-07-31,0.29,7.75
