날짜,지하,1층,2층
2026-07-01,5.72,12.5,3.71
2026-07-02,3.18,13.12,0.0
2026-07-03,4.19,13.54,3.42
2026-07-04,1.0,11.02,6.33
2026-07-05,0.67,11.31,5.92
2026-07-06,5.7,2.78,0.0
2026-07-07,3.08,15.02,3.5
2026-07-08,4.36,12.33,0.0
2026-07-09,3.14,10.64,0.0
2026-07-10,1.4,10.94,0.0
2026-07-11,1.21,9.65,1.62
2026-07-12,2.22,9.71,7.62
2026-07-13,5.05,0.42,0.0
2026-07-14,4.99,14.3,4.38
2026-07-15,5.34,13.7,6.42
2026-07-16,1.45,13.77,6.29
2026-07-17,0.0,0.0,0.0
2026-07-18,2.81,10.69,4.42
2026-07-19,1.12,11.0,4.25
2026-07-20,6.7,0.56,0.0
2026-07-21,5.64,14.75,2.12
2026-07-22,6.88,14.89,1.83
2026-07-23,4.46,13.32,2.25
2026-07-24,1.83,14.69,1.92
2026-07-25,1.65,11.98,5.75
2026-07-26,1.58,12.02,4.75
2026-07-27,4.0,5.07,0.0
2026-07-28,3.33,15.49,2.08
2026-07-29,7.73,14.55,5.21
2026-07-30,3.75,14.12,7.25
2026-07-31,2.91,14.25,6.17
