날짜,사무실,휴게공간,VIP실,기타공간
2026-07-01,4.9,5.38,0.0,0.0
2026-07-02,6.04,5.83,0.0,0.0
2026-07-03,4.99,5.46,0.0,0.0
2026-07-04,3.94,1.96,0.0,0.0
2026-07-05,2.69,2.62,0.0,0.0
2026-07-06,4.36,6.17,0.0,0.0
2026-07-07,3.64,5.96,0.0,0.0
2026-07-08,3.6,6.5,0.0,0.04
2026-07-09,4.68,4.58,0.0,0.08
2026-07-10,5.65,4.21,3.75,0.0
2026-07-11,3.04,3.04,0.0,0.0
2026-07-12,2.69,3.83,0.0,0.0
2026-07-13,3.8,5.25,0.0,0.0
2026-07-14,3.69,8.54,0.0,0.0
2026-07-15,3.57,7.21,0.0,0.0
2026-07-16,4.73,7.04,0.0,0.0
2026-07-17,7.08,4.33,0.0,0.0
2026-07-18,7.06,5.46,0.0,0.0
2026-07-19,4.33,7.54,0.0,0.0
2026-07-20,8.11,8.17,0.0,0.0
2026-07-21,7.61,10.71,0.0,0.0
2026-07-22,8.23,10.75,0.0,0.0
2026-07-23,8.2,6.04,0.0,0.04
2026-07-24,9.76,10.96,0.0,0.38
2026-07-25,7.69,6.08,0.92,0.71
2026-07-26,7.76,5.0,0.0,0.0
2026-07-27,8.27,5.46,0.0,0.0
2026-07-28,9.4,9.54,0.0,0.0
2026-07-29,6.61,10.54,0.0,0.0
2026-07-30,4.83,7.46,0.0,0.0
2026-07-31,7.79,12.12,0.0,0.0
